name,unit,category,short_desc,extra_desc,context,vartype,min_val,max_val,enumvals,boot_val,reset_val
bgwriter_lru_maxpages,,Resource Usage / Background Writer,Background writer maximum number of LRU pages to flush per round.,,sighup,integer,0,1000,,100,100
bgwriter_lru_multiplier,,Resource Usage / Background Writer,Multiple of the average buffer usage to free per round.,,sighup,real,0,10,,2,2
block_size,,Preset Options,Shows the size of a disk block.,,internal,integer,8192,8192,,8192,8192
bonjour,,Connections and Authentication / Connection Settings,Enables advertising the server via Bonjour.,,postmaster,bool,,,,off,off
bonjour_name,,Connections and Authentication / Connection Settings,Sets the Bonjour service name.,,postmaster,string,,,,"",""
bytea_output,,Client Connection Defaults / Statement Behavior,Sets the output format for bytea.,,user,enum,,,"{escape,hex}",hex,hex
check_function_bodies,,Client Connection Defaults / Statement Behavior,Check function bodies during CREATE FUNCTION.,,user,bool,,,,on,on
checkpoint_completion_target,,Write-Ahead Log / Checkpoints,"Time spent flushing dirty buffers during checkpoint, as fraction of checkpoint interval.",,sighup,real,0,1,,0.5,0.5
checkpoint_timeout,s,Write-Ahead Log / Checkpoints,Sets the maximum time between automatic WAL checkpoints.,,sighup,integer,30,3600,,300,300
checkpoint_warning,s,Write-Ahead Log / Checkpoints,Enables warnings if checkpoint segments are filled more frequently than this.,Write a message to the server log if checkpoints caused by the filling of checkpoint segment files happens more frequently than this number of seconds. Zero turns off the warning.,sighup,integer,0,2147483647,,30,30
client_encoding,,Client Connection Defaults / Locale and Formatting,Sets the client's character set encoding.,,user,string,,,,SQL_ASCII,UTF8
client_min_messages,,Reporting and Logging / When to Log,Sets the message levels that are sent to the client.,"Each level includes all the levels that follow it. The later the level, the fewer messages are sent.",user,enum,,,"{debug5,debug4,debug3,debug2,debug1,log,notice,warning,error}",notice,notice
cluster_name,,Process Title,"Sets the name of the cluster, which is included in the process title.",,postmaster,string,,,,"",9.5/main
commit_delay,,Write-Ahead Log / Settings,Sets the delay in microseconds between transaction commit and flushing WAL to disk.,,superuser,integer,0,100000,,0,0
commit_siblings,,Write-Ahead Log / Settings,Sets the minimum concurrent open transactions before performing commit_delay.,,user,integer,0,1000,,5,5
config_file,,File Locations,Sets the server's main configuration file.,,postmaster,string,,,,,/etc/postgresql/9.5/main/postgresql.conf
constraint_exclusion,,Query Tuning / Other Planner Options,Enables the planner to use constraints to optimize queries.,Table scans will be skipped if their constraints guarantee that no rows match the query.,user,enum,,,"{partition,on,off}",partition,partition
cpu_index_tuple_cost,,Query Tuning / Planner Cost Constants,Sets the planner's estimate of the cost of processing each index entry during an index scan.,,user,real,0,1.79769e+308,,0.005,0.005
cpu_operator_cost,,Query Tuning / Planner Cost Constants,Sets the planner's estimate of the cost of processing each operator or function call.,,user,real,0,1.79769e+308,,0.0025,0.0025
cpu_tuple_cost,,Query Tuning / Planner Cost Constants,Sets the planner's estimate of the cost of processing each tuple (row).,,user,real,0,1.79769e+308,,0.01,0.01
cursor_tuple_fraction,,Query Tuning / Other Planner Options,Sets the planner's estimate of the fraction of a cursor's rows that will be retrieved.,,user,real,0,1,,0.1,0.1
data_checksums,,Preset Options,Shows whether data checksums are turned on for this cluster.,,internal,bool,,,,off,off
data_directory,,File Locations,Sets the server's data directory.,,postmaster,string,,,,,/var/lib/postgresql/9.5/main
DateStyle,,Client Connection Defaults / Locale and Formatting,Sets the display format for date and time values.,Also controls interpretation of ambiguous date inputs.,user,string,,,,"ISO, MDY","ISO, MDY"
db_user_namespace,,Connections and Authentication / Security and Authentication,Enables per-database user names.,,sighup,bool,,,,off,off
deadlock_timeout,ms,Lock Management,Sets the time to wait on a lock before checking for deadlock.,,superuser,integer,1,2147483647,,1000,1000
debug_assertions,,Preset Options,Shows whether the running server has assertion checks enabled.,,internal,bool,,,,off,off
debug_pretty_print,,Reporting and Logging / What to Log,Indents parse and plan tree displays.,,user,bool,,,,on,on
debug_print_parse,,Reporting and Logging / What to Log,Logs each query's parse tree.,,user,bool,,,,off,off
debug_print_plan,,Reporting and Logging / What to Log,Logs each query's execution plan.,,user,bool,,,,off,off
debug_print_rewritten,,Reporting and Logging / What to Log,Logs each query's rewritten parse tree.,,user,bool,,,,off,off
default_statistics_target,,Query Tuning / Other Planner Options,Sets the default statistics target.,This applies to table columns that have not had a column-specific target set via ALTER TABLE SET STATISTICS.,user,integer,1,10000,,100,100
default_tablespace,,Client Connection Defaults / Statement Behavior,Sets the default tablespace to create tables and indexes in.,An empty string selects the database's default tablespace.,user,string,,,,"",""
default_text_search_config,,Client Connection Defaults / Locale and Formatting,Sets default text search configuration.,,user,string,,,,pg_catalog.simple,pg_catalog.english
default_transaction_deferrable,,Client Connection Defaults / Statement Behavior,Sets the default deferrable status of new transactions.,,user,bool,,,,off,off
default_transaction_isolation,,Client Connection Defaults / Statement Behavior,Sets the transaction isolation level of each new transaction.,,user,enum,,,"{serializable,""repeatable read"",""read committed"",""read uncommitted""}",read committed,read committed
default_transaction_read_only,,Client Connection Defaults / Statement Behavior,Sets the default read-only status of new transactions.,,user,bool,,,,off,off
default_with_oids,,Version and Platform Compatibility / Previous PostgreSQL Versions,Create new tables with OIDs by default.,,user,bool,,,,off,off
dynamic_library_path,,Client Connection Defaults / Other Defaults,Sets the path for dynamically loadable modules.,"If a dynamically loadable module needs to be opened and the specified name does not have a directory component (i.e., the name does not contain a slash), the system will search this path for the specified file.",superuser,string,,,,$libdir,$libdir
dynamic_shared_memory_type,,Resource Usage / Memory,Selects the dynamic shared memory implementation used.,,postmaster,enum,,,"{posix,sysv,mmap,none}",posix,posix
effective_cache_size,8kB,Query Tuning / Planner Cost Constants,Sets the planner's assumption about the size of the data cache.,"That is, the size of the cache used for PostgreSQL data files. This is measured in disk pages, which are normally 8 kB each.",user,integer,1,2147483647,,524288,524288
effective_io_concurrency,,Resource Usage / Asynchronous Behavior,Number of simultaneous requests that can be handled efficiently by the disk subsystem.,"For RAID arrays, this should be approximately the number of drive spindles in the array.",user,integer,0,1000,,1,1
enable_bitmapscan,,Query Tuning / Planner Method Configuration,Enables the planner's use of bitmap-scan plans.,,user,bool,,,,on,on
enable_hashagg,,Query Tuning / Planner Method Configuration,Enables the planner's use of hashed aggregation plans.,,user,bool,,,,on,on
enable_hashjoin,,Query Tuning / Planner Method Configuration,Enables the planner's use of hash join plans.,,user,bool,,,,on,on
enable_indexonlyscan,,Query Tuning / Planner Method Configuration,Enables the planner's use of index-only-scan plans.,,user,bool,,,,on,on
enable_indexscan,,Query Tuning / Planner Method Configuration,Enables the planner's use of index-scan plans.,,user,bool,,,,on,on
enable_material,,Query Tuning / Planner Method Configuration,Enables the planner's use of materialization.,,user,bool,,,,on,on
enable_mergejoin,,Query Tuning / Planner Method Configuration,Enables the planner's use of merge join plans.,,user,bool,,,,on,on
enable_nestloop,,Query Tuning / Planner Method Configuration,Enables the planner's use of nested-loop join plans.,,user,bool,,,,on,on
enable_seqscan,,Query Tuning / Planner Method Configuration,Enables the planner's use of sequential-scan plans.,,user,bool,,,,on,on
enable_sort,,Query Tuning / Planner Method Configuration,Enables the planner's use of explicit sort steps.,,user,bool,,,,on,on
enable_tidscan,,Query Tuning / Planner Method Configuration,Enables the planner's use of TID scan plans.,,user,bool,,,,on,on
escape_string_warning,,Version and Platform Compatibility / Previous PostgreSQL Versions,Warn about backslash escapes in ordinary string literals.,,user,bool,,,,on,on
event_source,,Reporting and Logging / Where to Log,Sets the application name used to identify PostgreSQL messages in the event log.,,postmaster,string,,,,PostgreSQL,PostgreSQL
exit_on_error,,Error Handling,Terminate session on any error.,,user,bool,,,,off,off
external_pid_file,,File Locations,Writes the postmaster PID to the specified file.,,postmaster,string,,,,,/var/run/postgresql/9.5-main.pid
extra_float_digits,,Client Connection Defaults / Locale and Formatting,Sets the number of digits displayed for floating-point values.,"This affects real, double precision, and geometric data types. The parameter value is added to the standard number of digits (FLT_DIG or DBL_DIG as appropriate).",user,integer,-15,3,,0,0
from_collapse_limit,,Query Tuning / Other Planner Options,Sets the FROM-list size beyond which subqueries are not collapsed.,The planner will merge subqueries into upper queries if the resulting FROM list would have no more than this many items.,user,integer,1,2147483647,,8,8
fsync,,Write-Ahead Log / Settings,Forces synchronization of updates to disk.,The server will use the fsync() system call in several places to make sure that updates are physically written to disk. This insures that a database cluster will recover to a consistent state after an operating system or hardware crash.,sighup,bool,,,,on,on
full_page_writes,,Write-Ahead Log / Settings,Writes full pages to WAL when first modified after a checkpoint.,"A page write in process during an operating system crash might be only partially written to disk.  During recovery, the row changes stored in WAL are not enough to recover.  This option writes pages when first modified after a checkpoint to WAL so full recovery is possible.",sighup,bool,,,,on,on
geqo,,Query Tuning / Genetic Query Optimizer,Enables genetic query optimization.,This algorithm attempts to do planning without exhaustive searching.,user,bool,,,,on,on
geqo_effort,,Query Tuning / Genetic Query Optimizer,GEQO: effort is used to set the default for other GEQO parameters.,,user,integer,1,10,,5,5
geqo_generations,,Query Tuning / Genetic Query Optimizer,GEQO: number of iterations of the algorithm.,Zero selects a suitable default value.,user,integer,0,2147483647,,0,0
geqo_pool_size,,Query Tuning / Genetic Query Optimizer,GEQO: number of individuals in the population.,Zero selects a suitable default value.,user,integer,0,2147483647,,0,0
geqo_seed,,Query Tuning / Genetic Query Optimizer,GEQO: seed for random path selection.,,user,real,0,1,,0,0
geqo_selection_bias,,Query Tuning / Genetic Query Optimizer,GEQO: selective pressure within the population.,,user,real,1.5,2,,2,2
geqo_threshold,,Query Tuning / Genetic Query Optimizer,Sets the threshold of FROM items beyond which GEQO is used.,,user,integer,2,2147483647,,12,12
gin_fuzzy_search_limit,,Client Connection Defaults / Other Defaults,Sets the maximum allowed result for exact search by GIN.,,user,integer,0,2147483647,,0,0
gin_pending_list_limit,kB,Client Connection Defaults / Statement Behavior,Sets the maximum size of the pending list for GIN index.,,user,integer,64,2147483647,,4096,4096
hba_file,,File Locations,"Sets the server's ""hba"" configuration file.",,postmaster,string,,,,,/etc/postgresql/9.5/main/pg_hba.conf
hot_standby,,Replication / Standby Servers,Allows connections and queries during recovery.,,postmaster,bool,,,,off,off
hot_standby_feedback,,Replication / Standby Servers,Allows feedback from a hot standby to the primary that will avoid query conflicts.,,sighup,bool,,,,off,off
huge_pages,,Resource Usage / Memory,Use of huge pages on Linux.,,postmaster,enum,,,"{off,on,try}",try,try
ident_file,,File Locations,"Sets the server's ""ident"" configuration file.",,postmaster,string,,,,,/etc/postgresql/9.5/main/pg_ident.conf
ignore_checksum_failure,,Developer Options,Continues processing after a checksum failure.,"Detection of a checksum failure normally causes PostgreSQL to report an error, aborting the current transaction. Setting ignore_checksum_failure to true causes the system to ignore the failure (but still report a warning), and continue processing. This behavior could cause crashes or other serious problems. Only has an effect if checksums are enabled.",superuser,bool,,,,off,off
ignore_system_indexes,,Developer Options,Disables reading from system indexes.,"It does not prevent updating the indexes, so it is safe to use.  The worst consequence is slowness.",backend,bool,,,,off,off
integer_datetimes,,Preset Options,Datetimes are integer based.,,internal,bool,,,,on,on
IntervalStyle,,Client Connection Defaults / Locale and Formatting,Sets the display format for interval values.,,user,enum,,,"{postgres,postgres_verbose,sql_standard,iso_8601}",postgres,postgres
join_collapse_limit,,Query Tuning / Other Planner Options,Sets the FROM-list size beyond which JOIN constructs are not flattened.,The planner will flatten explicit JOIN constructs into lists of FROM items whenever a list of no more than this many items would result.,user,integer,1,2147483647,,8,8
krb_caseins_users,,Connections and Authentication / Security and Authentication,Sets whether Kerberos and GSSAPI user names should be treated as case-insensitive.,,sighup,bool,,,,off,off
krb_server_keyfile,,Connections and Authentication / Security and Authentication,Sets the location of the Kerberos server key file.,,sighup,string,,,,FILE:/etc/postgresql-common/krb5.keytab,FILE:/etc/postgresql-common/krb5.keytab
lc_collate,,Client Connection Defaults / Locale and Formatting,Shows the collation order locale.,,internal,string,,,,C,C.UTF-8
lc_ctype,,Client Connection Defaults / Locale and Formatting,Shows the character classification and case conversion locale.,,internal,string,,,,C,C.UTF-8
lc_messages,,Client Connection Defaults / Locale and Formatting,Sets the language in which messages are displayed.,,superuser,string,,,,"",C.UTF-8
lc_monetary,,Client Connection Defaults / Locale and Formatting,Sets the locale for formatting monetary amounts.,,user,string,,,,C,C.UTF-8
lc_numeric,,Client Connection Defaults / Locale and Formatting,Sets the locale for formatting numbers.,,user,string,,,,C,C.UTF-8
lc_time,,Client Connection Defaults / Locale and Formatting,Sets the locale for formatting date and time values.,,user,string,,,,C,C.UTF-8
listen_addresses,,Connections and Authentication / Connection Settings,Sets the host name or IP address(es) to listen to.,,postmaster,string,,,,localhost,localhost
lo_compat_privileges,,Version and Platform Compatibility / Previous PostgreSQL Versions,Enables backward compatibility mode for privilege checks on large objects.,"Skips privilege checks when reading or modifying large objects, for compatibility with PostgreSQL releases prior to 9.0.",superuser,bool,,,,off,off
local_preload_libraries,,Client Connection Defaults / Shared Library Preloading,Lists unprivileged shared libraries to preload into each backend.,,user,string,,,,"",""
lock_timeout,ms,Client Connection Defaults / Statement Behavior,Sets the maximum allowed duration of any wait for a lock.,A value of 0 turns off the timeout.,user,integer,0,2147483647,,0,0
log_autovacuum_min_duration,ms,Reporting and Logging / What to Log,Sets the minimum execution time above which autovacuum actions will be logged.,Zero prints all actions. -1 turns autovacuum logging off.,sighup,integer,-1,2147483647,,-1,-1
log_checkpoints,,Reporting and Logging / What to Log,Logs each checkpoint.,,sighup,bool,,,,off,off
log_connections,,Reporting and Logging / What to Log,Logs each successful connection.,,superuser-backend,bool,,,,off,off
log_destination,,Reporting and Logging / Where to Log,Sets the destination for server log output.,"Valid values are combinations of ""stderr"", ""syslog"", ""csvlog"", and ""eventlog"", depending on the platform.",sighup,string,,,,stderr,stderr
log_directory,,Reporting and Logging / Where to Log,Sets the destination directory for log files.,Can be specified as relative to the data directory or as absolute path.,sighup,string,,,,pg_log,pg_log
log_disconnections,,Reporting and Logging / What to Log,"Logs end of a session, including duration.",,superuser-backend,bool,,,,off,off
log_duration,,Reporting and Logging / What to Log,Logs the duration of each completed SQL statement.,,superuser,bool,,,,off,off
log_error_verbosity,,Reporting and Logging / What to Log,Sets the verbosity of logged messages.,,superuser,enum,,,"{terse,default,verbose}",default,default
log_executor_stats,,Statistics / Monitoring,Writes executor performance statistics to the server log.,,superuser,bool,,,,off,off
log_file_mode,,Reporting and Logging / Where to Log,Sets the file permissions for log files.,The parameter value is expected to be a numeric mode specification in the form accepted by the chmod and umask system calls. (To use the customary octal format the number must start with a 0 (zero).),sighup,integer,0,511,,384,384
log_filename,,Reporting and Logging / Where to Log,Sets the file name pattern for log files.,,sighup,string,,,,postgresql-%Y-%m-%d_%H%M%S.log,postgresql-%Y-%m-%d_%H%M%S.log
log_hostname,,Reporting and Logging / What to Log,Logs the host name in the connection logs.,"By default, connection logs only show the IP address of the connecting host. If you want them to show the host name you can turn this on, but depending on your host name resolution setup it might impose a non-negligible performance penalty.",sighup,bool,,,,off,off
log_line_prefix,,Reporting and Logging / What to Log,Controls information prefixed to each log line.,"If blank, no prefix is used.",sighup,string,,,,"",%m [%p] %q%u@%d 
log_lock_waits,,Reporting and Logging / What to Log,Logs long lock waits.,,superuser,bool,,,,off,off
log_min_duration_statement,ms,Reporting and Logging / When to Log,Sets the minimum execution time above which statements will be logged.,Zero prints all queries. -1 turns this feature off.,superuser,integer,-1,2147483647,,-1,-1
log_min_error_statement,,Reporting and Logging / When to Log,Causes all statements generating error at or above this level to be logged.,"Each level includes all the levels that follow it. The later the level, the fewer messages are sent.",superuser,enum,,,"{debug5,debug4,debug3,debug2,debug1,info,notice,warning,error,log,fatal,panic}",error,error
log_min_messages,,Reporting and Logging / When to Log,Sets the message levels that are logged.,"Each level includes all the levels that follow it. The later the level, the fewer messages are sent.",superuser,enum,,,"{debug5,debug4,debug3,debug2,debug1,info,notice,warning,error,log,fatal,panic}",warning,warning
log_parser_stats,,Statistics / Monitoring,Writes parser performance statistics to the server log.,,superuser,bool,,,,off,off
log_planner_stats,,Statistics / Monitoring,Writes planner performance statistics to the server log.,,superuser,bool,,,,off,off
log_replication_commands,,Reporting and Logging / What to Log,Logs each replication command.,,superuser,bool,,,,off,off
log_rotation_age,min,Reporting and Logging / Where to Log,Automatic log file rotation will occur after N minutes.,,sighup,integer,0,35791394,,1440,1440
log_rotation_size,kB,Reporting and Logging / Where to Log,Automatic log file rotation will occur after N kilobytes.,,sighup,integer,0,2097151,,10240,10240
log_statement,,Reporting and Logging / What to Log,Sets the type of statements logged.,,superuser,enum,,,"{none,ddl,mod,all}",none,none
log_statement_stats,,Statistics / Monitoring,Writes cumulative performance statistics to the server log.,,superuser,bool,,,,off,off
log_temp_files,kB,Reporting and Logging / What to Log,Log the use of temporary files larger than this number of kilobytes.,Zero logs all files. The default is -1 (turning this feature off).,superuser,integer,-1,2147483647,,-1,-1
log_timezone,,Reporting and Logging / What to Log,Sets the time zone to use in log messages.,,sighup,string,,,,GMT,UTC
log_truncate_on_rotation,,Reporting and Logging / Where to Log,Truncate existing log files of same name during log rotation.,,sighup,bool,,,,off,off
logging_collector,,Reporting and Logging / Where to Log,Start a subprocess to capture stderr output and/or csvlogs into log files.,,postmaster,bool,,,,off,off
maintenance_work_mem,kB,Resource Usage / Memory,Sets the maximum memory to be used for maintenance operations.,This includes operations such as VACUUM and CREATE INDEX.,user,integer,1024,2147483647,,65536,65536
max_connections,,Connections and Authentication / Connection Settings,Sets the maximum number of concurrent connections.,,postmaster,integer,1,8388607,,100,100
max_files_per_process,,Resource Usage / Kernel Resources,Sets the maximum number of simultaneously open files for each server process.,,postmaster,integer,25,2147483647,,1000,1000
max_function_args,,Preset Options,Shows the maximum number of function arguments.,,internal,integer,100,100,,100,100
max_identifier_length,,Preset Options,Shows the maximum identifier length.,,internal,integer,63,63,,63,63
max_index_keys,,Preset Options,Shows the maximum number of index keys.,,internal,integer,32,32,,32,32
max_locks_per_transaction,,Lock Management,Sets the maximum number of locks per transaction.,The shared lock table is sized on the assumption that at most max_locks_per_transaction * max_connections distinct objects will need to be locked at any one time.,postmaster,integer,10,2147483647,,64,64
max_pred_locks_per_transaction,,Lock Management,Sets the maximum number of predicate locks per transaction.,The shared predicate lock table is sized on the assumption that at most max_pred_locks_per_transaction * max_connections distinct objects will need to be locked at any one time.,postmaster,integer,10,2147483647,,64,64
max_prepared_transactions,,Resource Usage / Memory,Sets the maximum number of simultaneously prepared transactions.,,postmaster,integer,0,8388607,,0,0
max_replication_slots,,Replication / Sending Servers,Sets the maximum number of simultaneously defined replication slots.,,postmaster,integer,0,8388607,,0,0
max_stack_depth,kB,Resource Usage / Memory,"Sets the maximum stack depth, in kilobytes.",,superuser,integer,100,2147483647,,100,2048
max_standby_archive_delay,ms,Replication / Standby Servers,Sets the maximum delay before canceling queries when a hot standby server is processing archived WAL data.,,sighup,integer,-1,2147483647,,30000,30000
max_standby_streaming_delay,ms,Replication / Standby Servers,Sets the maximum delay before canceling queries when a hot standby server is processing streamed WAL data.,,sighup,integer,-1,2147483647,,30000,30000
max_wal_senders,,Replication / Sending Servers,Sets the maximum number of simultaneously running WAL sender processes.,,postmaster,integer,0,8388607,,0,0
max_wal_size,16MB,Write-Ahead Log / Checkpoints,Sets the WAL size that triggers a checkpoint.,,sighup,integer,2,2147483647,,64,64
max_worker_processes,,Resource Usage / Asynchronous Behavior,Maximum number of concurrent worker processes.,,postmaster,integer,1,8388607,,8,8
min_wal_size,16MB,Write-Ahead Log / Checkpoints,Sets the minimum size to shrink the WAL to.,,sighup,integer,2,2147483647,,5,5
operator_precedence_warning,,Version and Platform Compatibility / Previous PostgreSQL Versions,Emit a warning for constructs that changed meaning since PostgreSQL 9.4.,,user,bool,,,,off,off
password_encryption,,Connections and Authentication / Security and Authentication,Encrypt passwords.,"When a password is specified in CREATE USER or ALTER USER without writing either ENCRYPTED or UNENCRYPTED, this parameter determines whether the password is to be encrypted.",user,bool,,,,on,on
port,,Connections and Authentication / Connection Settings,Sets the TCP port the server listens on.,,postmaster,integer,1,65535,,5432,5435
post_auth_delay,s,Developer Options,Waits N seconds on connection startup after authentication.,This allows attaching a debugger to the process.,backend,integer,0,2147,,0,0
pre_auth_delay,s,Developer Options,Waits N seconds on connection startup before authentication.,This allows attaching a debugger to the process.,sighup,integer,0,60,,0,0
quote_all_identifiers,,Version and Platform Compatibility / Previous PostgreSQL Versions,"When generating SQL fragments, quote all identifiers.",,user,bool,,,,off,off
random_page_cost,,Query Tuning / Planner Cost Constants,Sets the planner's estimate of the cost of a nonsequentially fetched disk page.,,user,real,0,1.79769e+308,,4,4
restart_after_crash,,Error Handling,Reinitialize server after backend crash.,,sighup,bool,,,,on,on
row_security,,Connections and Authentication / Security and Authentication,Enable row security.,"When enabled, row security will be applied to all users.",user,bool,,,,on,on
search_path,,Client Connection Defaults / Statement Behavior,Sets the schema search order for names that are not schema-qualified.,,user,string,,,,"""$user"", public","""$user"", public"
segment_size,8kB,Preset Options,Shows the number of pages per disk file.,,internal,integer,131072,131072,,131072,131072
seq_page_cost,,Query Tuning / Planner Cost Constants,Sets the planner's estimate of the cost of a sequentially fetched disk page.,,user,real,0,1.79769e+308,,1,1
server_encoding,,Client Connection Defaults / Locale and Formatting,Sets the server (database) character set encoding.,,internal,string,,,,SQL_ASCII,UTF8
server_version,,Preset Options,Shows the server version.,,internal,string,,,,9.5.15,9.5.15
server_version_num,,Preset Options,Shows the server version as an integer.,,internal,integer,90515,90515,,90515,90515
session_preload_libraries,,Client Connection Defaults / Shared Library Preloading,Lists shared libraries to preload into each backend.,,superuser,string,,,,"",""
session_replication_role,,Client Connection Defaults / Statement Behavior,Sets the session's behavior for triggers and rewrite rules.,,superuser,enum,,,"{origin,replica,local}",origin,origin
shared_buffers,8kB,Resource Usage / Memory,Sets the number of shared memory buffers used by the server.,,postmaster,integer,16,1073741823,,1024,16384
shared_preload_libraries,,Client Connection Defaults / Shared Library Preloading,Lists shared libraries to preload into server.,,postmaster,string,,,,"",""
sql_inheritance,,Version and Platform Compatibility / Previous PostgreSQL Versions,Causes subtables to be included by default in various commands.,,user,bool,,,,on,on
ssl,,Connections and Authentication / Security and Authentication,Enables SSL connections.,,postmaster,bool,,,,off,on
ssl_ca_file,,Connections and Authentication / Security and Authentication,Location of the SSL certificate authority file.,,postmaster,string,,,,"",""
ssl_cert_file,,Connections and Authentication / Security and Authentication,Location of the SSL server certificate file.,,postmaster,string,,,,server.crt,/etc/ssl/certs/ssl-cert-snakeoil.pem
ssl_ciphers,,Connections and Authentication / Security and Authentication,Sets the list of allowed SSL ciphers.,,postmaster,string,,,,HIGH:MEDIUM:+3DES:!aNULL,HIGH:MEDIUM:+3DES:!aNULL
ssl_crl_file,,Connections and Authentication / Security and Authentication,Location of the SSL certificate revocation list file.,,postmaster,string,,,,"",""
ssl_ecdh_curve,,Connections and Authentication / Security and Authentication,Sets the curve to use for ECDH.,,postmaster,string,,,,prime256v1,prime256v1
ssl_key_file,,Connections and Authentication / Security and Authentication,Location of the SSL server private key file.,,postmaster,string,,,,server.key,/etc/ssl/private/ssl-cert-snakeoil.key
ssl_prefer_server_ciphers,,Connections and Authentication / Security and Authentication,Give priority to server ciphersuite order.,,postmaster,bool,,,,on,on
standard_conforming_strings,,Version and Platform Compatibility / Previous PostgreSQL Versions,Causes '...' strings to treat backslashes literally.,,user,bool,,,,on,on
statement_timeout,ms,Client Connection Defaults / Statement Behavior,Sets the maximum allowed duration of any statement.,A value of 0 turns off the timeout.,user,integer,0,2147483647,,0,0
stats_temp_directory,,Statistics / Query and Index Statistics Collector,Writes temporary statistics files to the specified directory.,,sighup,string,,,,pg_stat_tmp,/var/run/postgresql/9.5-main.pg_stat_tmp
superuser_reserved_connections,,Connections and Authentication / Connection Settings,Sets the number of connection slots reserved for superusers.,,postmaster,integer,0,8388607,,3,3
synchronize_seqscans,,Version and Platform Compatibility / Previous PostgreSQL Versions,Enable synchronized sequential scans.,,user,bool,,,,on,on
synchronous_commit,,Write-Ahead Log / Settings,Sets the current transaction's synchronization level.,,user,enum,,,"{local,remote_write,on,off}",on,on
synchronous_standby_names,,Replication / Master Server,List of names of potential synchronous standbys.,,sighup,string,,,,"",""
syslog_facility,,Reporting and Logging / Where to Log,"Sets the syslog ""facility"" to be used when syslog enabled.",,sighup,enum,,,"{local0,local1,local2,local3,local4,local5,local6,local7}",local0,local0
syslog_ident,,Reporting and Logging / Where to Log,Sets the program name used to identify PostgreSQL messages in syslog.,,sighup,string,,,,postgres,postgres
tcp_keepalives_count,,Client Connection Defaults / Other Defaults,Maximum number of TCP keepalive retransmits.,This controls the number of consecutive keepalive retransmits that can be lost before a connection is considered dead. A value of 0 uses the system default.,user,integer,0,2147483647,,0,0
tcp_keepalives_idle,s,Client Connection Defaults / Other Defaults,Time between issuing TCP keepalives.,A value of 0 uses the system default.,user,integer,0,2147483647,,0,0
